Sample	pmoA	pmoB	pmoC	MmoC	MDH	mxaA	mxaC	mxaD	mxaJ	mxaK	mxaL	xoxF	mxaF	MxaI	MxaJ	MxaG	FDH	FdsD	fdhD	fdhF	fae	MtdB	Mch	Ftr	fwdA	fwdB	fwdC	CspA	CspB	CspC	Hsp20	Hsp33	groEL	groES	dnaK	htpX	yesN	rsaA	bapA	ftsH	HupB	GSR	CysI	cysJ	trxA	trxB	trxC	SOD1	SOD2	WrbA	Qor	nirB	nirD	NirK	glnA	gltB	gdhA	PYG	glgC	treZ	treT	thuE	thuG	lpp	ClpA	ClpS	envC	pilA	lon	nadA	tuf
GCA_043729025.1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0
GCA_024636505.1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0
GCA_030653985.1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0
GCA_030655535.1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1
GCA_005239965.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1
GCA_003158415.1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1
GCA_041307165.1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1
GCA_041320545.1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1
GCA_041307115.1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0
GCA_041307135.1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1
GCA_041307065.1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0
GCA_041307185.1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0
GCA_036561065.1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1
GCA_030679035.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1
GCA_030696865.1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	1
GCA_945861405.1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0
GCA_025361585.1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	1
GCA_043724325.1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	1
GCA_036561025.1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0
GCA_016919575.1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	0
GCA_026399025.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1
GCA_945893135.1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0
GCA_945908155.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1
GCA_036559765.1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1
GCA_036560465.1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0
GCA_000190755.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1
GCA_029945545.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1
GCA_029945745.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1
GCA_030653175.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1
GCA_030654595.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1
GCA_030680395.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1
GCA_030683295.1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1
